Ort,Gini,Region
Augsburg,0.532311,Bayern
Berlin,0.41055,Ost
Bonn,0.594144,West
Braunschweig,0.558356,Nord
Bremen,0.502253,Nord
Cochem,0.514227,Rheinland
Dresden,0.43004,Ost
Erfurt,0.47288,Ost
Frankfurt (Main),0.513858,West
Frankfurt (Oder),0.473717,Ost
Freiburg,0.419225,Schwaben
Füssen,0.341319,Bayern
Gelsenkirchen,0.560667,West
Halle (Saale),0.457333,Ost
Hamburg,0.551324,Nord
Hannover,0.560136,Nord
Heidelberg,0.322584,Schwaben
Heilbronn,0.44648,Schwaben
Ingolstadt,0.40672,Bayern
Kassel,0.507481,West
Kiel,0.476426,Nord
Koblenz,0.480212,Rheinland
Konstanz,0.327843,Schwaben
Köln,0.536293,West
Leipzig,0.480096,Ost
Lübeck,0.422219,Nord
Magdeburg,0.534689,Ost
Mainz,0.490555,Rheinland
Mannheim,0.434904,Schwaben
Marburg,0.583893,West
München,0.455683,Bayern
Münster,0.552389,West
Nürnberg,0.452427,Bayern
Passau,0.427573,Bayern
Potsdam,0.39384,Ost
Regensburg,0.402347,Bayern
Rostock,0.576702,Nord
Saarbrücken,0.449067,Rheinland
Saarlouis,0.455214,Rheinland
Schwerin,0.501752,Nord
St. Ingbert,0.417538,Rheinland
Stuttgart,0.395711,Schwaben
Trier,0.453627,Rheinland
Tübingen,0.373654,Schwaben
Ulm,0.396236,Schwaben
Weiskirchen,0.452671,Rheinland
Wiesbaden,0.551828,West
Würzburg,0.466094,Bayern
